CRN,Course,Session,Title,Instructor(s),Schedule,Credits
21779,COMP 506 001,Full Term,COMPILER CONSTRUCTION - GR,Cooper, Keith D.,10:50AM - 12:05PM TR RYN 201GR Course-Dept Schedules Exam,4
22511,COMP 511 001,Full Term,PRINCIPLES OF PROG LANGUAGES,Cartwright, Robert S.,1:00PM - 1:50PM MWF DCH 10701-MAY-2018  9:00AM - 12:00PM T TBA TBAGR Course-Dept Schedules Exam,4
21558,COMP 513 001,Full Term,COMPLEXITY IN MODERN SYSTEMS,Zhong, Lin,12:20PM - 2:50PM W AEL A121GR Course-Dept Schedules Exam,3
22514,COMP 521 001,Full Term,OP SYS/CONCURRENT PROGRAMMING,Johnson, David B.,2:30PM - 3:45PM TR HRG 10030-APR-2018  2:00PM - 5:00PM M TBA TBAGR Course-Dept Schedules Exam,4
20781,COMP 526 001,Full Term,HIGH PERFORM COMPUTER ARCH,Varman, Peter J.,9:25AM - 10:40AM TR DCH 1042GR Course-Dept Schedules Exam,3
22442,COMP 528 001,Full Term,INTRODUCTION TO VIRTUALIZATION,Rixner, Scott,1:00PM - 2:15PM TR DCH 1075GR Course-Dept Schedules Exam,3
20989,COMP 529 001,Full Term,ADVANCED COMPUTER NETWORKS,Ng, Tze Sing E.,10:50AM - 12:05PM TR DCH 1042GR Course-Dept Schedules Exam,4
22432,COMP 530 001,Full Term,DATABASE SYSTEM IMPLEMENTATION,Jermaine, Christopher M.,11:00AM - 11:50AM MWF RYN 201GR Course-Dept Schedules Exam,3 TO 4
23950,COMP 533 001,Full Term,INTRO TO DATABASE SYSTEMS,Myers, Risa B.,4:00PM - 5:15PM TR KCK 100GR Course-Dept Schedules Exam,4
25496,COMP 535 002,Full Term,APPROX COMP SYS FOR BIG DATA,Palem, Krishna V.Cartwright, Robert S.,3:00PM - 3:50PM MWF DCH 1042GR Course-Dept Schedules Exam,4
22513,COMP 539 001,Full Term,SOFTWARE ENGINEER METHODOLOGY,Wong, Stephen B.Joyner, Mackale R.,3:00PM - 3:50PM MWF DCH 10701-MAY-2018  2:00PM - 5:00PM T TBA TBAGR Course-Dept Schedules Exam,4
20991,COMP 540 001,Full Term,STATISTICAL MACHINE LEARNING,Subramanian, Devika,10:00AM - 10:50AM MWF SEW 301GR Course-Dept Schedules Exam,4
22516,COMP 541 001,Full Term,INTRO TO COMPUTER SECURITY,Wallach, Dan S.,10:50AM - 12:05PM TR DCH 107026-APR-2018  9:00AM - 12:00PM R TBA TBAGR Course-Dept Schedules Exam,3
25317,COMP 543 001,Full Term,GR TOOLS & MODELS - DATA SCI,Myers, Risa B.Jermaine, Christopher M.,1:00PM - 1:50PM MWF DCH 1075GR Course-Dept Schedules Exam,3
24211,COMP 546 001,Full Term,INTRO TO COMPUTER VISION,Veeraraghavan, Ashok,4:00PM - 5:15PM TR HRZ 21027-APR-2018  2:00PM - 5:00PM F TBA TBAGR Course-Dept Schedules Exam,3
25072,COMP 573 001,Full Term,BIOMEDICAL INFORMATICS,Kavraki, Lydia E.,1:00PM - 2:15PM TR KCK 105GR Course-Dept Schedules Exam,1 TO 3
22517,COMP 581 001,Full Term,AUTOMATA/FORMAL LANG/COMPUTING,Burke, Michael G.,2:30PM - 3:45PM TR KCK 10730-APR-2018  2:00PM - 5:00PM M TBA TBAGR Course-Dept Schedules Exam,3
20487,COMP 590 001,Full Term,COMPUTER SCIENCE PROJECTS,Vardi, Moshe Y., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23254,COMP 590 002,Full Term,COMPUTER SCIENCE PROJECTS,Cartwright, Robert S., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23255,COMP 590 003,Full Term,COMPUTER SCIENCE PROJECTS,Goldman, Ronald N., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23256,COMP 590 004,Full Term,COMPUTER SCIENCE PROJECTS,Jermaine, Christopher M., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23257,COMP 590 005,Full Term,COMPUTER SCIENCE PROJECTS,Johnson, David B., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23258,COMP 590 006,Full Term,COMPUTER SCIENCE PROJECTS,Mellor-Crummey, John M., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23259,COMP 590 007,Full Term,COMPUTER SCIENCE PROJECTS,Nakhleh, Luay, TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23260,COMP 590 008,Full Term,COMPUTER SCIENCE PROJECTS,Ng, Tze Sing E., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23261,COMP 590 009,Full Term,COMPUTER SCIENCE PROJECTS,Rixner, Scott, TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23262,COMP 590 010,Full Term,COMPUTER SCIENCE PROJECTS,Palem, Krishna V., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23263,COMP 590 011,Full Term,COMPUTER SCIENCE PROJECTS,Shrivastava, Anshumali, TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23264,COMP 590 012,Full Term,COMPUTER SCIENCE PROJECTS,Wallach, Dan S., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23265,COMP 590 013,Full Term,COMPUTER SCIENCE PROJECTS,Warren, Joe D., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
24302,COMP 590 014,Full Term,COMPUTER SCIENCE PROJECTS,Kavraki, Lydia E., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
24452,COMP 590 015,Full Term,COMPUTER SCIENCE PROJECTS,Wong, Stephen B., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
24453,COMP 590 016,Full Term,COMPUTER SCIENCE PROJECTS,Subramanian, Devika, TBA TBAGR Course-Dept Schedules Exam,1 TO 4
25016,COMP 590 017,Full Term,COMPUTER SCIENCE PROJECTS,Byrne, Michael D., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
25368,COMP 590 018,Full Term,COMPUTER SCIENCE PROJECTS,Chen, Ang, TBA TBAGR Course-Dept Schedules Exam,1 TO 4
25464,COMP 590 019,Full Term,COMPUTER SCIENCE PROJECTS,Budimlic, Zoran, TBA TBAGR Course-Dept Schedules Exam,1 TO 4
25535,COMP 590 020,Full Term,COMPUTER SCIENCE PROJECTS,Cox, Alan L., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
25561,COMP 590 021,2nd Half of Full Term,COMPUTER SCIENCE PROJECTS,Patel, Ankit B., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
25563,COMP 590 022,2nd Half of Full Term,COMPUTER SCIENCE PROJECTS,Simar, Ray, TBA TBAGR Course-Dept Schedules Exam,1 TO 4
24940,COMP 598 001,Full Term,INTRODUCTION TO ROBOTICS,O'Malley, Marcia K.,1:00PM - 2:15PM TR KWG 10027-APR-2018  9:00AM - 12:00PM F TBA TBAGR Course-Dept Schedules Exam,3
20310,COMP 600 001,Full Term,GRADUATE SEMINAR,Volz, Tracy M.,12:00PM - 12:50PM M DCH 1070GR Course-Dept Schedules Exam,1
24326,COMP 607 003,Full Term,AUTOMATED PROGRAM VERIFICATION,Vardi, Moshe Y.,3:00PM - 4:30PM MF DCH 1046GR Course-Dept Schedules Exam,1
25068,COMP 645 001,Full Term,ADV TOPICS IN DISTRIBUTED SYST,Chen, Ang,3:30PM - 5:00PM W KCK 105GR Course-Dept Schedules Exam,1 TO 3
20163,COMP 690 001,Full Term,RESEARCH AND THESIS,Sarkar, Vivek, TBA TBAGR Course-Dept Schedules Exam,1 TO 12
23252,COMP 690 002,Full Term,RESEARCH AND THESIS,Ng, Tze Sing E., TBA TBAGR Course-Dept Schedules Exam,1 TO 12
23253,COMP 690 003,Full Term,RESEARCH AND THESIS,Kavraki, Lydia E., TBA TBAGR Course-Dept Schedules Exam,1 TO 12
24410,COMP 690 004,Full Term,RESEARCH AND THESIS,Baraniuk, Richard G., TBA TBAGR Course-Dept Schedules Exam,1 TO 12
24457,COMP 690 005,Full Term,RESEARCH AND THESIS,Nakhleh, Luay, TBA TBAGR Course-Dept Schedules Exam,1 TO 12
25362,COMP 690 006,Full Term,RESEARCH AND THESIS,Vardi, Moshe Y., TBA TBAGR Course-Dept Schedules Exam,1 TO 12
20164,COMP 694 001,Full Term,HOW TO BE A CTO,Cutler, Scott E.,9:30AM - 11:00AM W DCH 2014GR Course-Dept Schedules Exam,3
20166,COMP 800 001,Full Term,GRADUATE RESEARCH,Palem, Krishna V., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23232,COMP 800 002,Full Term,GRADUATE RESEARCH,Cartwright, Robert S., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23233,COMP 800 003,Full Term,GRADUATE RESEARCH,Chaudhuri, Swarat, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23234,COMP 800 004,Full Term,GRADUATE RESEARCH,Cooper, Keith D., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23235,COMP 800 005,Full Term,GRADUATE RESEARCH,Cox, Alan L., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23236,COMP 800 006,Full Term,GRADUATE RESEARCH,Goldman, Ronald N., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23237,COMP 800 007,Full Term,GRADUATE RESEARCH,Jermaine, Christopher M., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23238,COMP 800 008,Full Term,GRADUATE RESEARCH,Johnson, David B., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23239,COMP 800 009,Full Term,GRADUATE RESEARCH,Kavraki, Lydia E., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23240,COMP 800 010,Full Term,GRADUATE RESEARCH,Mellor-Crummey, John M., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23241,COMP 800 011,Full Term,GRADUATE RESEARCH,Nakhleh, Luay, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23242,COMP 800 012,Full Term,GRADUATE RESEARCH,Ng, Tze Sing E., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23243,COMP 800 013,Full Term,GRADUATE RESEARCH,Rixner, Scott, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23244,COMP 800 014,Full Term,GRADUATE RESEARCH,Shrivastava, Anshumali, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23245,COMP 800 015,Full Term,GRADUATE RESEARCH,Vardi, Moshe Y., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23246,COMP 800 016,Full Term,GRADUATE RESEARCH,Wallach, Dan S., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23247,COMP 800 017,Full Term,GRADUATE RESEARCH,Warren, Joe D., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23248,COMP 800 018,Full Term,GRADUATE RESEARCH,Zhong, Lin, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25385,COMP 800 019,Full Term,GRADUATE RESEARCH,Varman, Peter J., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25437,COMP 800 020,Full Term,GRADUATE RESEARCH,Sarkar, Vivek, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25450,COMP 800 021,Full Term,GRADUATE RESEARCH,Subramanian, Devika, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25505,COMP 800 022,Full Term,GRADUATE RESEARCH,Budimlic, Zoran, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24021,ELEC 007 001,1st Half of Full Term,VISITING RESEARCH,Kono, Junichiro, TBA TBANo Final Exam,0
24878,ELEC 007 002,2nd Half of Full Term,VISITING RESEARCH,Kono, Junichiro, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,0
25500,ELEC 220 001,Full Term,FUND COMPUTER ENGINEERING,Simar, Ray,9:25AM - 10:40AM TR DCH 10554:00PM - 5:50PM T BRK 10128-APR-2018  9:00AM - 12:00PM S TBA TBANo Final Exam,4
25501,ELEC 220 002,Full Term,FUND COMPUTER ENGINEERING,Simar, Ray,9:25AM - 10:40AM TR DCH 105511:00AM - 12:50PM W BRK 10128-APR-2018  9:00AM - 12:00PM S TBA TBANo Final Exam,4
25502,ELEC 220 003,Full Term,FUND COMPUTER ENGINEERING,Simar, Ray,9:25AM - 10:40AM TR DCH 10554:00PM - 5:50PM R BRK 10128-APR-2018  9:00AM - 12:00PM S TBA TBANo Final Exam,4
20140,ELEC 242 001,Full Term,FUND ELEC ENGINEERING II,Antoulas, Athanasios C.,11:00AM - 11:50AM MWF DCH 106425-APR-2018  9:00AM - 12:00PM W TBA TBANo Final Exam,3
20141,ELEC 243 001,Full Term,ELECTRONIC MEASUREMENT SYSTEMS,Ramachandran, Deepa P.,9:25AM - 10:40AM TR DCH 10642:30PM - 5:30PM T TBA TBA28-APR-2018  9:00AM - 12:00PM S TBA TBANo Final Exam,4
21492,ELEC 243 002,Full Term,ELECTRONIC MEASUREMENT SYSTEMS,Ramachandran, Deepa P.,9:25AM - 10:40AM TR DCH 10642:00PM - 5:00PM W TBA TBA28-APR-2018  9:00AM - 12:00PM S TBA TBANo Final Exam,4
21487,ELEC 244 001,Full Term,FUND ELEC ENGINEERING II LAB,Ramachandran, Deepa P.,2:00PM - 2:50PM M DCH 10702:30PM - 5:30PM R AEL A1411-MAY-2018  2:00PM - 5:00PM T TBA TBANo Final Exam,1
21488,ELEC 244 002,Full Term,FUND ELEC ENGINEERING II LAB,Ramachandran, Deepa P.,2:00PM - 2:50PM M DCH 10702:30PM - 5:30PM F AEL A1411-MAY-2018  2:00PM - 5:00PM T TBA TBANo Final Exam,1
20142,ELEC 262 001,Full Term,INTRO TO WAVES AND PHOTONICS,Noe, Gary T.,1:00PM - 1:50PM MW DBH 2101:00PM - 1:50PM F BRK 1031-MAY-2018  9:00AM - 12:00PM T TBA TBAScheduled Final Exam-OTR Room,3
21491,ELEC 302 001,Full Term,INTRODUCTION TO SYSTEMS,Antoulas, Athanasios C.,9:00AM - 9:50AM MWF DCH 104226-APR-2018  2:00PM - 5:00PM R TBA TBANo Final Exam,3
20443,ELEC 305 001,Full Term,INTRO PHYSICAL ELECTRONICS,Woods, Gary L.,10:00AM - 10:50AM MWF DCH 106430-APR-2018  9:00AM - 12:00PM M TBA TBATake-Home Exam,3
20447,ELEC 323 001,Full Term,FUNDAMENTALS OF PARALLEL PROG,Joyner, Mackale R.Budimlic, Zoran,1:00PM - 1:50PM MWF SEW 3014:00PM - 4:50PM R SEW 3011-MAY-2018  9:00AM - 12:00PM T TBA TBAScheduled Final Exam-OTR Room,4
20486,ELEC 327 001,Full Term,IMPLEMENTATION OF DIGITAL SYS,Kemere, Caleb T.,9:25AM - 10:40AM TR DCH 107528-APR-2018  9:00AM - 12:00PM S TBA TBANo Final Exam,3
23986,ELEC 332 001,Full Term,ELEC SYS PRINCIPLES & PRACTICE,Orchard, Michael T.,1:00PM - 2:15PM TR AEL B20927-APR-2018  9:00AM - 12:00PM F TBA TBANo Final Exam,3
24879,ELEC 361 001,Full Term,QUANTUM MECHANICS FOR ENGINEER,Bharadwaj, Palash,10:50AM - 12:05PM TR DCH 104626-APR-2018  9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room,3
20527,ELEC 364 001,Full Term,PHOTONICS MEASUREMENTS,Noe, Gary T.,2:30PM - 3:45PM TR DBH 21430-APR-2018  2:00PM - 5:00PM M TBA TBANo Final Exam,3
24128,ELEC 382 001,Full Term,INTRO COMPUTATIONAL NEURSCI,Gabbiani, Fabrizio A.,2:00PM - 2:50PM MWF BKH 11628-APR-2018  2:00PM - 5:00PM S TBA TBATake-Home Exam,3
20149,ELEC 421 001,Full Term,OP SYS/CONCURRENT PROGRAMMING,Johnson, David B.,2:30PM - 3:45PM TR HRG 10030-APR-2018  2:00PM - 5:00PM M TBA TBAScheduled Final Exam-OTR Room,4
22042,ELEC 422 001,Full Term,VLSI SYSTEMS DESIGN,Cavallaro, Joseph,1:00PM - 2:15PM TR AEL A11627-APR-2018  9:00AM - 12:00PM F TBA TBATake-Home Exam,3
20150,ELEC 430 001,Full Term,DIGITAL COMMUNICATION,Sabharwal, Ashutosh,1:00PM - 3:30PM R AEL A12125-APR-2018  2:00PM - 5:00PM W TBA TBANo Final Exam,3
20151,ELEC 431 001,Full Term,DIGITAL SIGNAL PROCESSING,Orchard, Michael T.,11:00AM - 11:50AM MWF DCH 107025-APR-2018  9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room,3
24880,ELEC 433 001,Full Term,ARCH - WIRELESS COMMUNICATIONS,Sabharwal, AshutoshShepard, Clayton W.,2:30PM - 5:00PM T AEL A1162-MAY-2018  9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room,3
20152,ELEC 436 001,Full Term,FUNDAMENTALS OF CONTROL SYST,Ghorbel, Fathi H.,11:00AM - 11:50AM MWF HRZ 21025-APR-2018  9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room,3
25092,ELEC 447 001,Full Term,INTRO TO COMPUTER VISION,Veeraraghavan, Ashok,4:00PM - 5:15PM TR HRZ 21027-APR-2018  2:00PM - 5:00PM F TBA TBATake-Home Exam,3
24881,ELEC 462 001,Full Term,OPTOELECTRONIC DEVICES,Naik, Gururaj V.,4:00PM - 5:15PM TR DCH 1046Scheduled Final Exam-OTR Room,3
22346,ELEC 475 001,Full Term,LEARNING FROM SENSOR DATA,Azhang, Behnam,9:25AM - 10:40AM TR DCH 107028-APR-2018  9:00AM - 12:00PM S TBA TBANo Final Exam,3
24883,ELEC 486 001,Full Term,FUND MEDICAL IMAGING II,Mawlawi, Osama,4:00PM - 6:50PM R BRC 28527-APR-2018  2:00PM - 5:00PM F TBA TBATake-Home Exam,3
22455,ELEC 489 001,Full Term,NEURAL COMPUTATION,Pitkow, Zachary S.,2:30PM - 3:45PM TR KCK 10130-APR-2018  2:00PM - 5:00PM M TBA TBANo Final Exam,3
20662,ELEC 490 001,Full Term,UG ELEC ENG'G RES PROJECTS,Cavallaro, Joseph, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 6
22044,ELEC 491 001,Full Term,UG ELEC ENG'G RESEARCH VIP,Cavallaro, Joseph, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 6
22046,ELEC 491 002,Full Term,UG ELEC ENG'G RESEARCH VIP,Woods, Gary L., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 6
22048,ELEC 491 003,Full Term,UG ELEC ENG'G RESEARCH VIP,Azhang, Behnam, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 6
22050,ELEC 491 004,Full Term,UG ELEC ENG'G RESEARCH VIP,Simar, Ray, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 6
22052,ELEC 491 005,Full Term,UG ELEC ENG'G RESEARCH VIP,Sabharwal, Ashutosh, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 6
24351,ELEC 491 006,Full Term,UG ELEC ENG'G RESEARCH VIP,Ghorbel, Fathi H., TBA TBANo Final Exam,1 TO 6
20153,ELEC 494 001,Full Term,SENIOR DESIGN,Woods, Gary L.,8:30AM - 9:50AM MW HRG 10026-APR-2018  7:00PM - 10:00PM R TBA TBANo Final Exam,3
24939,ELEC 498 001,Full Term,INTRODUCTION TO ROBOTICS,O'Malley, Marcia K.,1:00PM - 2:15PM TR KWG 10027-APR-2018  9:00AM - 12:00PM F TBA TBATake-Home Exam,3
22533,ELEC 502 001,Full Term,NEURAL MACHINE LEARNING I,Merenyi, Erzsebet,2:30PM - 3:45PM TR DCH 1064GR Course-Dept Schedules Exam,3
21557,ELEC 513 001,Full Term,COMPLEXITY IN MODERN SYSTEMS,Zhong, Lin,12:20PM - 2:50PM W AEL A121GR Course-Dept Schedules Exam,3
20780,ELEC 526 001,Full Term,HIGH PERFORM COMPUTER ARCH,Varman, Peter J.,9:25AM - 10:40AM TR DCH 1042GR Course-Dept Schedules Exam,3
24307,ELEC 527 002,Full Term,VLSI SYSTEMS DESIGN,Cavallaro, Joseph,1:00PM - 2:15PM TR AEL A11627-APR-2018  9:00AM - 12:00PM F TBA TBAGR Course-Dept Schedules Exam,3
20990,ELEC 529 001,Full Term,ADVANCED COMPUTER NETWORKS,Ng, Tze Sing E.,10:50AM - 12:05PM TR DCH 1042GR Course-Dept Schedules Exam,4
21245,ELEC 531 001,Full Term,STATISTICAL SIGNAL PROCESSING,Johnson, Don H.,1:00PM - 2:15PM TR KCK 101GR Course-Dept Schedules Exam,3
25365,ELEC 536 001,Full Term,ARCH - WIRELESS COMMUNICATIONS,Sabharwal, AshutoshShepard, Clayton W.,2:30PM - 5:00PM T AEL A1162-MAY-2018  9:00AM - 12:00PM W TBA TBAGR Course-Dept Schedules Exam,3
20601,ELEC 544 001,Full Term,ADVANCED DSP,Burrus, C S.,10:00AM - 10:50AM MWF DCH 1075GR Course-Dept Schedules Exam,3
24118,ELEC 546 001,Full Term,INTRO TO COMPUTER VISION,Veeraraghavan, Ashok,4:00PM - 5:15PM TR HRZ 21027-APR-2018  2:00PM - 5:00PM F TBA TBAGR Course-Dept Schedules Exam,3
22590,ELEC 551 001,Full Term,DIGITAL COMMUNICATION,Sabharwal, Ashutosh,1:00PM - 3:30PM R AEL A121GR Course-Dept Schedules Exam,3
22515,ELEC 552 001,Full Term,OP SYS/CONCURRENT PROGRAMMING,Johnson, David B.,2:30PM - 3:45PM TR HRG 10030-APR-2018  2:00PM - 5:00PM M TBA TBAGR Course-Dept Schedules Exam,4
22545,ELEC 558 001,Full Term,DIGITAL SIGNAL PROCESSING,Orchard, Michael T.,11:00AM - 11:50AM MWF DCH 107025-APR-2018  9:00AM - 12:00PM W TBA TBAGR Course-Dept Schedules Exam,3
24882,ELEC 562 001,Full Term,OPTOELECTRONIC DEVICES,Naik, Gururaj V.,4:00PM - 5:15PM TR DCH 1046GR Course-Dept Schedules Exam,3
24886,ELEC 569 001,Full Term,ULTRAFAST OPTICAL PHENOMENA,Kono, Junichiro,10:50AM - 12:05PM TR BRK 103GR Course-Dept Schedules Exam,3
22347,ELEC 575 001,Full Term,LEARNING FROM SENSOR DATA,Azhang, Behnam,9:25AM - 10:40AM TR DCH 1070GR Course-Dept Schedules Exam,3
25458,ELEC 586 001,Full Term,FUND MEDICAL IMAGING II,Mawlawi, Osama,4:00PM - 6:50PM R BRC 28527-APR-2018  2:00PM - 5:00PM F TBA TBAGR Course-Dept Schedules Exam,3
22603,ELEC 589 001,Full Term,NEURAL COMPUTATION,Pitkow, Zachary S.,2:30PM - 3:45PM TR KCK 101GR Course-Dept Schedules Exam,3
20154,ELEC 590 001,Full Term,GR NON-THESIS RES PROJECTS,Azhang, Behnam, TBA TBAGR Course-Dept Schedules Exam,1 TO 6
25551,ELEC 590 002,Full Term,GR NON-THESIS RES PROJECTS,Pitkow, Zachary S., TBA TBAGR Course-Dept Schedules Exam,1 TO 6
22045,ELEC 591 001,Full Term,GRAD ELEC ENG'G RESEARCH VIP,Cavallaro, Joseph, TBA TBAGR Course-Dept Schedules Exam,1 TO 6
22047,ELEC 591 002,Full Term,GRAD ELEC ENG'G RESEARCH VIP,Woods, Gary L., TBA TBAGR Course-Dept Schedules Exam,1 TO 6
22049,ELEC 591 003,Full Term,GRAD ELEC ENG'G RESEARCH VIP,Azhang, Behnam, TBA TBAGR Course-Dept Schedules Exam,1 TO 6
22051,ELEC 591 004,Full Term,GRAD ELEC ENG'G RESEARCH VIP,Simar, Ray, TBA TBAGR Course-Dept Schedules Exam,1 TO 6
22053,ELEC 591 005,Full Term,GRAD ELEC ENG'G RESEARCH VIP,Sabharwal, Ashutosh, TBA TBAGR Course-Dept Schedules Exam,1 TO 6
24941,ELEC 598 001,Full Term,INTRODUCTION TO ROBOTICS,O'Malley, Marcia K.,1:00PM - 2:15PM TR KWG 10027-APR-2018  9:00AM - 12:00PM F TBA TBAGR Course-Dept Schedules Exam,3
21532,ELEC 599 002,Full Term,1ST YEAR GRAD STUDENTS PROJECT,Azhang, Behnam,2:00PM - 3:15PM M AEL A121GR Course-Dept Schedules Exam,6
21042,ELEC 603 001,Full Term,TOPICS IN NANOPHOTONICS,Halas, Nancy J., TBA TBAGR Course-Dept Schedules Exam,2
23989,ELEC 631 001,Full Term,DEEP NETWORKS FOR INFERENCE,Baraniuk, Richard G.Heckel, Reinhard W.,2:00PM - 4:30PM F DCH 1075GR Course-Dept Schedules Exam,3
25394,ELEC 677 003,Full Term,ENERGY-EFFICIENT ML SYSTEMS,Lin, Yingyan,4:00PM - 5:15PM MW AEL A121GR Course-Dept Schedules Exam,3
24887,ELEC 680 001,Full Term,NANO-NEUROTECHNOLOGY,Robinson, Jacob T.,2:00PM - 4:30PM W DCH 1046GR Course-Dept Schedules Exam,3
22344,ELEC 681 001,Full Term,FUNDAMENTALS MACHINE LEARNING,Schwanauer, Stephen M.,2:00PM - 4:50PM F AEL A121GR Course-Dept Schedules Exam,3
25559,ELEC 692 001,Full Term,ADV TOPICS IN DISTRIBUTED SYST,Chen, Ang,3:30PM - 5:00PM W TBA TBAGR Course-Dept Schedules Exam,1 TO 3
20155,ELEC 694 001,Full Term,HOW TO BE A CTO,Cutler, Scott E.,9:30AM - 11:00AM W DCH 2014GR Course-Dept Schedules Exam,3
