CRN,Course,Session,Title,Instructor(s),Schedule,Credits
21041,ELEC 698 001,Full Term,ECE PROFESSIONAL MASTER SEM,Orchard, Michael T., TBA TBAGR Course-Dept Schedules Exam,1
20872,ELEC 699 001,Full Term,FRONTIERS OF ECE,Azhang, Behnam, TBA TBAGR Course-Dept Schedules Exam,1
20156,ELEC 800 001,Full Term,RESEARCH AND THESIS,Azhang, Behnam, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23990,ELEC 800 002,Full Term,RESEARCH AND THESIS,Antoulas, Athanasios C., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23991,ELEC 800 003,Full Term,RESEARCH AND THESIS,Babakhani, Aydin, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23992,ELEC 800 004,Full Term,RESEARCH AND THESIS,Baraniuk, Richard G., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23993,ELEC 800 005,Full Term,RESEARCH AND THESIS,Bharadwaj, Palash, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23994,ELEC 800 006,Full Term,RESEARCH AND THESIS,Cavallaro, Joseph, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23995,ELEC 800 007,Full Term,RESEARCH AND THESIS,Halas, Nancy J., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23996,ELEC 800 008,Full Term,RESEARCH AND THESIS,Kelly, Kevin F., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23997,ELEC 800 009,Full Term,RESEARCH AND THESIS,Kemere, Caleb T., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23998,ELEC 800 010,Full Term,RESEARCH AND THESIS,Knightly, Edward W., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23999,ELEC 800 011,Full Term,RESEARCH AND THESIS,Kono, Junichiro, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24000,ELEC 800 012,Full Term,RESEARCH AND THESIS,Azhang, Behnam, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24001,ELEC 800 013,Full Term,RESEARCH AND THESIS,Naik, Gururaj V., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24002,ELEC 800 014,Full Term,RESEARCH AND THESIS,Orchard, Michael T., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24003,ELEC 800 015,Full Term,RESEARCH AND THESIS,Pitkow, Zachary S., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24004,ELEC 800 016,Full Term,RESEARCH AND THESIS,Robinson, Jacob T., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24005,ELEC 800 017,Full Term,RESEARCH AND THESIS,Sabharwal, Ashutosh, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24007,ELEC 800 019,Full Term,RESEARCH AND THESIS,Tittel, Frank K., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24008,ELEC 800 020,Full Term,RESEARCH AND THESIS,Varman, Peter J., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24009,ELEC 800 021,Full Term,RESEARCH AND THESIS,Veeraraghavan, Ashok, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24010,ELEC 800 022,Full Term,RESEARCH AND THESIS,Zhong, Lin, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24011,ELEC 800 023,Full Term,RESEARCH AND THESIS,Drezek, Rebekah A., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24012,ELEC 800 024,Full Term,RESEARCH AND THESIS,Landes, Christy F., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24013,ELEC 800 025,Full Term,RESEARCH AND THESIS,Link, Stephan, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24014,ELEC 800 026,Full Term,RESEARCH AND THESIS,Massoud, Yehia M., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24015,ELEC 800 027,Full Term,RESEARCH AND THESIS,Morosan, Emilia, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24016,ELEC 800 028,Full Term,RESEARCH AND THESIS,Ng, Tze Sing E., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24017,ELEC 800 029,Full Term,RESEARCH AND THESIS,Nordlander, Peter J., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24018,ELEC 800 030,Full Term,RESEARCH AND THESIS,Palem, Krishna V., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24019,ELEC 800 031,Full Term,RESEARCH AND THESIS,Rao, Arvind, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25395,ELEC 800 032,Full Term,RESEARCH AND THESIS,Yang, Kaiyuan, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25396,ELEC 800 033,Full Term,RESEARCH AND THESIS,Patel, Ankit B., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25397,ELEC 800 034,Full Term,RESEARCH AND THESIS,St. Pierre, Francois, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25398,ELEC 800 035,Full Term,RESEARCH AND THESIS,Shrivastava, Anshumali, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25399,ELEC 800 036,Full Term,RESEARCH AND THESIS,Papageorgiou, Dorina, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25495,ELEC 800 037,Full Term,RESEARCH AND THESIS,Natelson, Douglas, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25553,ENGI 120 001,Full Term,INTRO TO ENGINEERING DESIGN,Wettergreen, Matthew A.,10:50AM - 12:05PM TR TBA TBA26-APR-2018  9:00AM - 12:00PM R TBA TBANo Final Exam,3
24577,ENGI 120 002,Full Term,INTRO TO ENGINEERING DESIGN,Hunter, Deirdre-Annaliese N.,10:50AM - 12:05PM TR OED 11426-APR-2018  9:00AM - 12:00PM R TBA TBANo Final Exam,3
21039,ENGI 140 001,Full Term,ENG'G LEADERSHIP DEVELOPMENT,Van Kleeck, David A.Hennessy, James P.Phalen, Thomas E.,3:00PM - 4:50PM W DCC 11329-APR-2018  2:00PM - 5:00PM U TBA TBANo Final Exam,2
21067,ENGI 200 001,Full Term,ENGINEERING DESIGN STUDIO,Wettergreen, Matthew A., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,2 TO 3
21512,ENGI 210 001,Full Term,PROTOTYPING & FABRICATION,Wettergreen, Matthew A.,1:00PM - 2:15PM TR OED B0527-APR-2018  9:00AM - 12:00PM F TBA TBANo Final Exam,3
21058,ENGI 219 001,Full Term,ENGINEERING LEADERSHIP LAB II,Karwowski, Kazimir I.Wright, Cesare A.,1:00PM - 2:50PM M DCC 1131-MAY-2018  9:00AM - 12:00PM T TBA TBANo Final Exam,1
21059,ENGI 219 002,Full Term,ENGINEERING LEADERSHIP LAB II,Karwowski, Kazimir I.Wright, Cesare A.,3:00PM - 4:50PM M DCC 1131-MAY-2018  2:00PM - 5:00PM T TBA TBANo Final Exam,1
25554,ENGI 220 001,Full Term,INTRO TO ENGINEERING DESIGN II,Wettergreen, Matthew A.,10:50AM - 12:05PM TR TBA TBA26-APR-2018  9:00AM - 12:00PM R TBA TBANo Final Exam,3
25312,ENGI 220 002,Full Term,INTRO TO ENGINEERING DESIGN II,Hunter, Deirdre-Annaliese N.,10:50AM - 12:05PM TR OED 11426-APR-2018  9:00AM - 12:00PM R TBA TBANo Final Exam,3
22208,ENGI 242 001,Full Term,COMMUNICATION FOR ENGINEERS,O'Sullivan, Elizabeth C.,2:30PM - 5:00PM M HRG 129No Final Exam,3
20884,ENGI 300 001,Full Term,ENGINEERING DESIGN WORKSHOP,Oden, Zillah M.Hunter, Deirdre-Annaliese N., TBA TBANo Final Exam,2 TO 3
25111,ENGI 301 001,Full Term,INTRO TO PRACTICAL EE,Welsh, Erik J.,7:00PM - 8:15PM TR OED 11430-APR-2018  7:00PM - 10:00PM M TBA TBANo Final Exam,3
20669,ENGI 315 001,Full Term,LEADING TEAMS AND INNOVATION,Van Kleeck, David A.Phalen, Thomas E.,2:30PM - 3:45PM TR HNZ 20730-APR-2018  2:00PM - 5:00PM M TBA TBANo Final Exam,3
21507,ENGI 317 001,Full Term,LEADERSHIP ACTION LEARNING,Karwowski, Kazimir I.Wright, Cesare A.,1:00PM - 2:50PM F TBA TBA25-APR-2018  2:00PM - 5:00PM W TBA TBANo Final Exam,2
21073,ENGI 319 001,Full Term,LEADING ENG LEADERSHIP LAB II,Karwowski, Kazimir I.Wright, Cesare A.,1:00PM - 2:50PM M DCC 1131-MAY-2018  9:00AM - 12:00PM T TBA TBANo Final Exam,1
21074,ENGI 319 002,Full Term,LEADING ENG LEADERSHIP LAB II,Karwowski, Kazimir I.Wright, Cesare A.,3:00PM - 4:50PM M DCC 1131-MAY-2018  2:00PM - 5:00PM T TBA TBANo Final Exam,1
25127,ENGI 350 001,Full Term,NEEDS ID  & DESIGN IMPLEMENT,Hunter, Deirdre-Annaliese N.,2:30PM - 3:45PM TR OED B0530-APR-2018  2:00PM - 5:00PM M TBA TBANo Final Exam,3
20472,ENGI 510 001,Full Term,TECHNICAL AND MANAGERIAL COMM,Mardis, Jerlyn L.,5:00PM - 7:50PM M DCH 1046GR Course-Dept Schedules Exam,3
21508,ENGI 515 001,Full Term,LEADING TEAMS AND INNOVATION,Van Kleeck, David A.Phalen, Thomas E.,2:30PM - 3:45PM TR HNZ 207GR Course-Dept Schedules Exam,3
24579,ENGI 542 001,Full Term,COMMUNICATION FOR ENGINEERS,O'Sullivan, Elizabeth C.,2:30PM - 5:00PM M HRG 129GR Course-Dept Schedules Exam,3
20655,ENGI 545 001,Full Term,STRATEGIC THINKING,Chevallier, Arnaud M.,1:00PM - 3:50PM T RZR 123GR Course-Dept Schedules Exam,3
20466,ENGI 600 001,Full Term,GRADUATE COMMUNICATIONS SEM,Hewitt, Janice L., TBA TBAGR Course-Dept Schedules Exam,0
21495,ENGI 615 001,Full Term,LEADERSHIP COACHING FOR ENGR,Porche, Germaine,3:00PM - 5:50PM M RZR 123GR Course-Dept Schedules Exam,3
22670,GLHT 314 001,Full Term,SUST WTR PURIF FOR DEV WORLD,Loyo Rosales, Jorge E.,11:00AM - 12:15PM MW OED 11425-APR-2018  9:00AM - 12:00PM W TBA TBANo Final Exam,3
20526,GLHT 360 001,Full Term,APPRO DESIGN FOR GLOBAL HEALTH,Bond, Meaghan M.,1:00PM - 2:15PM TR BRC 28427-APR-2018  9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room,3
20358,GLHT 400 001,Full Term,GLHT INDEPENDENT RESEARCH,Oden, Zillah M.Richards-Kortum, Rebecca R., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 3
21001,GLHT 401 001,Full Term,GLHT RESEARCH REPORTING,Richards-Kortum, Rebecca R., TBA TBANo Final Exam,1
20456,GLHT 452 001,Full Term,GLOBAL HEALTH DESIGN II,Oden, Zillah M.,8:30AM - 9:50AM MWF HRG 10026-APR-2018  2:00PM - 5:00PM R TBA TBANo Final Exam,3
22659,GLHT 464 001,Full Term,SOCIAL ENTREPRENEURSHIP,Schuler, Douglas A.,10:50AM - 12:05PM TR MCN 21426-APR-2018  9:00AM - 12:00PM R TBA TBAScheduled Final Exam-Dept Room,3
20073,MECH 200 001,Full Term,CLASSICAL THERMODYNAMICS,Elliott, Matthew,10:50AM - 12:05PM TR MEB 12826-APR-2018  9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room,3
20074,MECH 211 001,Full Term,ENGINEERING MECHANICS,Fregly, Benjamin,8:00AM - 9:15AM TR MEL 2541-MAY-2018  7:00PM - 10:00PM T TBA TBAScheduled Final Exam-OTR Room,3
20075,MECH 311 001,Full Term,MECHANICS OF SOLIDS,Nagarajaiah, Satish,1:00PM - 2:15PM TR RYN 20127-APR-2018  9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room,3
22458,MECH 311 003,Full Term,MECHANICS OF SOLIDS,Marquez, Eleazar,10:00AM - 10:50AM MWF MEB 12830-APR-2018  9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room,3
20076,MECH 331 001,Full Term,JUNIOR LABORATORY I,Marquez, Eleazar,2:30PM - 5:30PM R TBA TBA30-APR-2018  2:00PM - 5:00PM M TBA TBANo Final Exam,1
20077,MECH 331 002,Full Term,JUNIOR LABORATORY I,Marquez, Eleazar,2:00PM - 5:00PM F TBA TBA28-APR-2018  2:00PM - 5:00PM S TBA TBANo Final Exam,1
20078,MECH 332 001,Full Term,JUNIOR LABORATORY II,Chiao, Leroy,2:00PM - 3:30PM M TBA TBA1-MAY-2018  2:00PM - 5:00PM T TBA TBANo Final Exam,1
20079,MECH 332 002,Full Term,JUNIOR LABORATORY II,Chiao, Leroy,3:30PM - 4:50PM M TBA TBA1-MAY-2018  2:00PM - 5:00PM T TBA TBANo Final Exam,1
20080,MECH 332 003,Full Term,JUNIOR LABORATORY II,Chiao, Leroy,2:30PM - 3:50PM T TBA TBA2-MAY-2018  9:00AM - 12:00PM W TBA TBANo Final Exam,1
20081,MECH 332 004,Full Term,JUNIOR LABORATORY II,Chiao, Leroy,4:00PM - 5:30PM T TBA TBA27-APR-2018  2:00PM - 5:00PM F TBA TBANo Final Exam,1
20082,MECH 332 005,Full Term,JUNIOR LABORATORY II,Chiao, Leroy,2:00PM - 3:30PM W TBA TBA28-APR-2018  2:00PM - 5:00PM S TBA TBANo Final Exam,1
20083,MECH 332 006,Full Term,JUNIOR LABORATORY II,Chiao, Leroy,3:30PM - 4:50PM W TBA TBA2-MAY-2018  2:00PM - 5:00PM W TBA TBANo Final Exam,1
20084,MECH 332 007,Full Term,JUNIOR LABORATORY II,Chiao, Leroy,2:30PM - 3:50PM R TBA TBA30-APR-2018  2:00PM - 5:00PM M TBA TBANo Final Exam,1
20085,MECH 332 008,Full Term,JUNIOR LABORATORY II,Chiao, Leroy,4:00PM - 5:30PM R TBA TBANo Final Exam,1
20086,MECH 340 001,Full Term,INDUSTRIAL PROCESS LAB,Gesenhues, Joseph P.,2:00PM - 4:50PM M TBA TBA1-MAY-2018  2:00PM - 5:00PM T TBA TBANo Final Exam,1
20436,MECH 340 002,Full Term,INDUSTRIAL PROCESS LAB,Gesenhues, Joseph P.,2:30PM - 5:30PM T TBA TBA2-MAY-2018  9:00AM - 12:00PM W TBA TBANo Final Exam,1
20087,MECH 340 003,Full Term,INDUSTRIAL PROCESS LAB,Gesenhues, Joseph P.,2:00PM - 4:50PM W TBA TBA28-APR-2018  2:00PM - 5:00PM S TBA TBANo Final Exam,1
20437,MECH 340 004,Full Term,INDUSTRIAL PROCESS LAB,Gesenhues, Joseph P.,2:30PM - 5:30PM R TBA TBA30-APR-2018  2:00PM - 5:00PM M TBA TBANo Final Exam,1
20088,MECH 400 001,Full Term,ADV MECHANICS OF MATERIALS,Stanciulescu, Ilinca,4:00PM - 5:15PM MW RYN 20128-APR-2018  7:00PM - 10:00PM S TBA TBANo Final Exam,3
21554,MECH 401 001,Full Term,MECHANICAL DESIGN APPLICATIONS,Elliott, Matthew,8:00AM - 9:15AM TR MEB 1281-MAY-2018  7:00PM - 10:00PM T TBA TBANo Final Exam,3
24359,MECH 403 001,Full Term,COMPUTER AIDED DESIGN,Akin, John E.,9:25AM - 10:40AM TR MEB 24128-APR-2018  9:00AM - 12:00PM S TBA TBAScheduled Final Exam-Dept Room,3
20464,MECH 404 001,Full Term,MECHANICAL DESIGN PROJECT,Meade, Andrew J., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 4
25488,MECH 404 002,Full Term,MECHANICAL DESIGN PROJECT,Gesenhues, Joseph P., TBA TBANo Final Exam,1 TO 4
20483,MECH 408 001,Full Term,CDP II,Elliott, Matthew,8:30AM - 9:50AM MWF HRG 10026-APR-2018  2:00PM - 5:00PM R TBA TBANo Final Exam,3
20089,MECH 412 001,Full Term,VIBRATIONS,Spanos, Pol D.,10:50AM - 12:05PM TR HRZ 21026-APR-2018  9:00AM - 12:00PM R TBA TBANo Final Exam,3
24580,MECH 417 001,Full Term,FINITE ELEMENT ANALYSIS,Akin, John E.,1:00PM - 2:15PM TR MEB 12827-APR-2018  9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room,3
20091,MECH 420 001,Full Term,FUNDAMENTALS OF CONTROL SYST,Ghorbel, Fathi H.,11:00AM - 11:50AM MWF HRZ 21025-APR-2018  9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room,3
20092,MECH 481 001,Full Term,HEAT TRANSFER,Bayazitoglu, Yildiz,9:25AM - 10:40AM TR RYN 20128-APR-2018  9:00AM - 12:00PM S TBA TBANo Final Exam,3
20476,MECH 490 001,Full Term,MECH ENG RESEARCH PROJECTS,Schaefer, Laura A., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 4
21509,MECH 490 002,Full Term,MECH ENG RESEARCH PROJECTS,Brake, Matthew R., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 4
24337,MECH 490 003,Full Term,MECH UG RESEARCH PROJECT - VIP,Ghorbel, Fathi H., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 4
24936,MECH 490 004,Full Term,MECH ENG RESEARCH PROJECTS,Marquez, Eleazar, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 4
25308,MECH 490 005,Full Term,MECH ENG RESEARCH PROJECTS,Meade, Andrew J., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 4
25354,MECH 490 006,Full Term,MECH ENG RESEARCH PROJECTS,O'Malley, Marcia K., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 4
25369,MECH 490 007,Full Term,MECH ENG RESEARCH PROJECTS,Higgs, Cecil F., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 4
24704,MECH 498 001,Full Term,INTRODUCTION TO ROBOTICS,O'Malley, Marcia K.,1:00PM - 2:15PM TR KWG 10027-APR-2018  9:00AM - 12:00PM F TBA TBATake-Home Exam,3
20093,MECH 500 001,Full Term,ADV MECHANICS OF MATERIALS,Stanciulescu, Ilinca,4:00PM - 5:15PM MW RYN 201GR Course-Dept Schedules Exam,3
20094,MECH 502 001,Full Term,VIBRATIONS,Spanos, Pol D.,10:50AM - 12:05PM TR HRZ 210GR Course-Dept Schedules Exam,3
24943,MECH 503 001,Full Term,COMPUTER AIDED DESIGN,Akin, John E.,2:30PM - 3:45PM TR MEB 241GR Course-Dept Schedules Exam,3
24213,MECH 505 001,Full Term,NUMERICAL METHODS,Brake, Matthew R.,2:00PM - 3:15PM MW MEB 128GR Course-Dept Schedules Exam,3
24582,MECH 517 001,Full Term,FINITE ELEMENT ANALYSIS,Akin, John E.,1:00PM - 2:15PM TR MEB 12827-APR-2018  9:00AM - 12:00PM F TBA TBAGR Course-Dept Schedules Exam,3
24942,MECH 555 001,Full Term,COMPUTATIONAL FSI,Tezduyar, Tayfun E.,9:25AM - 10:40AM TR MEB 128GR Course-Dept Schedules Exam,3
24294,MECH 572 004,Full Term,AEROSPACE SYSTEMS ENGINEERING,Meade, Andrew J.,4:00PM - 5:15PM TR MEB 128GR Course-Dept Schedules Exam,3
24053,MECH 575 001,Full Term,INTRO HYDRODYNAMIC STABILITY,Hassanzadeh, Pedram,9:25AM - 10:40AM TR MEL 254GR Course-Dept Schedules Exam,3
25384,MECH 595 001,Full Term,MODELING TISSUE MECHANICS,Boriek, A M.,2:00PM - 3:15PM MW HBH 22GR Course-Dept Schedules Exam,3
24587,MECH 596 001,Full Term,INTRO TO FLIGHT MECHANICS,Meade, Andrew J.,6:00PM - 7:15PM TR MEB 128GR Course-Dept Schedules Exam,3
24705,MECH 598 001,Full Term,INTRODUCTION TO ROBOTICS,O'Malley, Marcia K.,1:00PM - 2:15PM TR KWG 10027-APR-2018  9:00AM - 12:00PM F TBA TBAGR Course-Dept Schedules Exam,3
24400,MECH 599 001,Full Term,TRIBOLOGY,Higgs, Cecil F.,6:00PM - 7:15PM TR KCK 107GR Course-Dept Schedules Exam,3
25401,MECH 599 002,Full Term,TRANSLATIONAL NEUROENGINEERING,O'Malley, Marcia K.,2:30PM - 3:45PM TR MEB 128GR Course-Dept Schedules Exam,3
22572,MECH 601 001,Full Term,SPECIAL TOPICS,Spanos, Pol D., TBA TBAGR Course-Dept Schedules Exam,1 TO 9
20096,MECH 606 001,Full Term,GRADUATE SEMINAR,Schaefer, Laura A.,3:30PM - 4:30PM W MEB 128GR Course-Dept Schedules Exam,1
20097,MECH 612 001,Full Term,INDEPENDENT STUDY,Tezduyar, Tayfun E., TBA TBAGR Course-Dept Schedules Exam,1 TO 9
21086,MECH 612 003,Full Term,INDEPENDENT STUDY,O'Malley, Marcia K., TBA TBAGR Course-Dept Schedules Exam,1 TO 9
21129,MECH 612 005,Full Term,INDEPENDENT STUDY,Spanos, Pol D., TBA TBAGR Course-Dept Schedules Exam,1 TO 9
24393,MECH 612 006,Full Term,INDEPENDENT STUDY,Schaefer, Laura A., TBA TBAGR Course-Dept Schedules Exam,1 TO 9
25066,MECH 612 007,Full Term,INDEPENDENT STUDY,Hassanzadeh, Pedram, TBA TBAGR Course-Dept Schedules Exam,1 TO 9
21538,MECH 620 001,Full Term,FUNDAMENTALS OF CONTROL SYST,Ghorbel, Fathi H.,11:00AM - 11:50AM MWF HRZ 210GR Course-Dept Schedules Exam,3
20098,MECH 800 001,Full Term,RESEARCH AND THESIS,Tezduyar, Tayfun E., TBA TBAGR Course-Dept Schedules Exam,1 TO 12
22279,MECH 800 002,Full Term,RESEARCH AND THESIS,Meade, Andrew J., TBA TBAGR Course-Dept Schedules Exam,1 TO 12
22280,MECH 800 003,Full Term,RESEARCH AND THESIS,Ghorbel, Fathi H., TBA TBAGR Course-Dept Schedules Exam,1 TO 12
22281,MECH 800 004,Full Term,RESEARCH AND THESIS,, TBA TBAGR Course-Dept Schedules Exam,1 TO 12
22283,MECH 800 006,Full Term,RESEARCH AND THESIS,O'Malley, Marcia K., TBA TBAGR Course-Dept Schedules Exam,1 TO 12
22285,MECH 800 007,Full Term,RESEARCH AND THESIS,Spanos, Pol D., TBA TBAGR Course-Dept Schedules Exam,1 TO 12
22286,MECH 800 008,Full Term,RESEARCH AND THESIS,Bayazitoglu, Yildiz, TBA TBAGR Course-Dept Schedules Exam,1 TO 12
23984,MECH 800 009,Full Term,RESEARCH AND THESIS,Schaefer, Laura A., TBA TBAGR Course-Dept Schedules Exam,1 TO 12
23985,MECH 800 010,Full Term,RESEARCH AND THESIS,Higgs, Cecil F., TBA TBAGR Course-Dept Schedules Exam,1 TO 12
24588,MECH 800 011,Full Term,RESEARCH AND THESIS,Fregly, Benjamin, TBA TBAGR Course-Dept Schedules Exam,1 TO 12
24934,MECH 800 012,Full Term,RESEARCH AND THESIS,Brake, Matthew R., TBA TBAGR Course-Dept Schedules Exam,1 TO 12
24935,MECH 800 013,Full Term,RESEARCH AND THESIS,Hassanzadeh, Pedram, TBA TBAGR Course-Dept Schedules Exam,1 TO 12
24889,MSNE 007 001,1st Half of Full Term,VISITING RESEARCH,Vajtai, Robert, TBA TBANo Final Exam,0
24890,MSNE 007 002,2nd Half of Full Term,VISITING RESEARCH,Vajtai, Robert, TBA TBANo Final Exam,0
25371,MSNE 210 001,Full Term,WILD TOPICS CHEM AND NANOTECH,Tour, James M.,3:00PM - 3:50PM F DBH 1801-MAY-2018  2:00PM - 5:00PM T TBA TBANo Final Exam,1
24126,MSNE 302 001,Full Term,MATERIALS PROCESSING,Cordero, Zachary C.,11:00AM - 11:50AM MWF MEL 25425-APR-2018  9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room,3
21194,MSNE 303 001,Full Term,MATERIALS SCIENCE JUNIOR LAB,Cordero, Zachary C.,1:00PM - 3:30PM F RYN B0825-APR-2018  2:00PM - 5:00PM W TBA TBANo Final Exam,1
21431,MSNE 311 001,Full Term,MATERIALS SELECTION & DESIGN,Barrera, Enrique V.,2:00PM - 3:50PM MW KCK 1071-MAY-2018  2:00PM - 5:00PM T TBA TBANo Final Exam,4
21432,MSNE 408 001,Full Term,CAPSTONE DESIGN PROJECT II,Loos, Peter J.,9:00AM - 9:50AM MWF MEB 12826-APR-2018  2:00PM - 5:00PM R TBA TBANo Final Exam,3
25289,MSNE 416 001,Full Term,PROPERTIES OF SOFT MATERIALS,Thomas, Edwin L.,3:00PM - 3:50PM MWF GRB W2111-MAY-2018  2:00PM - 5:00PM T TBA TBAScheduled Final Exam-OTR Room,3
25087,MSNE 417 001,Full Term,POLYMER ELECTRONICS,Egap, Eilaf,1:00PM - 2:15PM TR HBH 42327-APR-2018  9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room,3
21197,MSNE 433 001,Full Term,COMPUTATIONAL MATERIALS MODEL,Yakobson, Boris I.,10:50AM - 12:05PM TR MEB 24126-APR-2018  9:00AM - 12:00PM R TBA TBANo Final Exam,3
